SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2407 Key Largo Ln,Fort Lauderdale,FL,33312,950000,3,2.0,LAUDERDALE ISLES NO 2-BLK,1462,9825,1955,44,650,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2407-Key-Largo-Ln-33312/home/41812837,MARMLS,A11351650,N,Y,26.0914669,-80.1938676
MLS Listing,,Single Family Residential,630 SW 29th Ave,Fort Lauderdale,FL,33312,395000,3,2.0,PARK PLAZA,1225,7312,1964,135,322,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/630-SW-29th-Ave-33312/home/41794038,MARMLS,A11312670,N,Y,26.1129535,-80.1826897
MLS Listing,,Single Family Residential,2524 Whale Harbor Ln,Fort Lauderdale,FL,33312,949000,3,2.0,Lauderdale Isles 2-resub,1572,7150,1957,1,604,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2524-Whale-Harbor-Ln-33312/home/41811444,Beaches MLS,F10377476,N,Y,26.0892529,-80.1994254
MLS Listing,,Single Family Residential,5201 SW 31st Ave #120,Dania Beach,FL,33312,449900,4,2.0,OAK LAKES,1485,,1985,1,303,160,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/5201-SW-31st-Ave-33312/unit-120/home/41817292,MARMLS,A11375767,N,Y,26.0568694,-80.1857847
MLS Listing,,Single Family Residential,2636 Sugarloaf Ln,Fort Lauderdale,FL,33312,2245000,3,3.0,Lauderdale Isles,2217,11315,1956,2,1013,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2636-Sugarloaf-Ln-33312/home/41812190,Beaches MLS,F10377355,N,Y,26.0872518,-80.1973773
MLS Listing,,Single Family Residential,5282 SW 38th Ave,Hollywood,FL,33312,1100000,4,2.5,MAPLE RIDGE,2150,5002,2000,2,512,175,Active,April-30-2023 10:00 AM,April-30-2023 12:00 PM,https://www.redfin.com/FL/Fort-Lauderdale/5282-SW-38th-Ave-33312/home/41997939,MARMLS,A11375197,N,Y,26.0574099,-80.1977278
MLS Listing,,Single Family Residential,3131 SW 23rd Ct,Fort Lauderdale,FL,33312,540000,3,2.0,Riverland Village,1436,7000,1960,2,376,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/3131-SW-23rd-Ct-33312/home/41813984,Beaches MLS,F10376123,N,Y,26.0931542,-80.1864821
MLS Listing,,Single Family Residential,4417 SW 37th Ave,Dania Beach,FL,33312,945000,3,2.0,DAVIS ISLES SEC 5,1896,9800,1968,3,498,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/4417-SW-37th-Ave-33312/home/41814515,MARMLS,A11374465,N,Y,26.0668849,-80.1960338
MLS Listing,,Single Family Residential,2424 Marathon Ln,Fort Lauderdale,FL,33312,1200000,3,2.0,LAUDERDALE ISLES NO 2-BLK,1462,7150,1955,3,821,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2424-Marathon-Ln-33312/home/41813831,MARMLS,A11374849,N,Y,26.090916,-80.194385
MLS Listing,,Single Family Residential,1025 SW 15th Ter,Fort Lauderdale,FL,33312,550000,2,1.0,RIVERSIDE NO 3,726,6000,1941,3,758,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/1025-SW-15th-Ter-33312/home/41794310,MARMLS,A11373543,N,Y,26.108926,-80.1625528
MLS Listing,,Single Family Residential,3230 SW 17th St,Fort Lauderdale,FL,33312,450000,2,1.0,Riverland Village Sec 1-replat,1133,7350,1957,3,397,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/3230-SW-17th-St-33312/home/41813639,Beaches MLS,RX-10880357,N,Y,26.0991131,-80.188095
MLS Listing,,Single Family Residential,3818 SW 50th Ct,Fort Lauderdale,FL,33312,825000,4,3.0,Maple Ridge,2184,3645,2001,3,378,127,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/3818-SW-50th-Ct-33312/home/41998986,Beaches MLS,F10377135,N,Y,26.0593661,-80.1975971
MLS Listing,,Townhouse,1927 SW 5th Blvd,Fort Lauderdale,FL,33312,525000,3,2.5,The Edge On 20,1621,,2021,4,324,205,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/1927-SW-5th-Blvd-33312/home/173207202,Beaches MLS,F10376902,N,Y,26.116784,-80.1672785
MLS Listing,,Townhouse,505 SW 18th Ave #8,Fort Lauderdale,FL,33312,575000,3,2.5,Oak Hammock,1858,,2005,4,309,637,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/505-SW-18th-Ave-33312/unit-8/home/42041988,Beaches MLS,F10376806,N,Y,26.116186,-80.1658743
MLS Listing,,Single Family Residential,500 SW 15th Ave,Fort Lauderdale,FL,33312,855000,6,2.0,RIVERSIDE ADD AMEN PLAT,1797,10942,1974,4,476,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/500-SW-15th-Ave-33312/home/41800693,MARMLS,A11374131,N,Y,26.1144238,-80.1614573
MLS Listing,,Single Family Residential,216 SW 19th Ave,Fort Lauderdale,FL,33312,1480000,3,3.5,ROBERTSON PARK,,13467,2023,6,,,Pre On-Market,,,https://www.redfin.com/FL/Fort-Lauderdale/216-SW-19th-Ave-33312/home/41795990,MARMLS,A11369001,N,Y,26.119286,-80.166558
MLS Listing,,Vacant Land,,Dania Beach,FL,33312,450000,,,,,9353,,6,,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/Undisclosed-address-33312/home/185143965,MARMLS,A11373224,N,Y,26.077455,-80.175455
MLS Listing,,Townhouse,4901 SW 31st Ter #117,Fort Lauderdale,FL,33312,365000,2,2.5,Oakbridge,1110,,1996,7,329,239,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/4901-SW-31st-Ter-33312/unit-117/home/41817163,Beaches MLS,F10376561,N,Y,26.0607772,-80.1850092
MLS Listing,,Single Family Residential,321 SW 9th Ave,Fort Lauderdale,FL,33312,575000,2,1.0,WAVERLY PLACE,1056,4500,1924,10,545,,Active,April-30-2023 01:00 PM,April-30-2023 04:00 PM,https://www.redfin.com/FL/Fort-Lauderdale/321-Lauderdale-Trl-33312/home/41797812,MARMLS,A11371368,N,Y,26.1180804,-80.1535604
